-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2023 through 07/31/2025 in UTC
Location: Latitude  52.3663   Longitude 17.6152 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 99.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
PS        MERRA-2 Surface Pressure (kPa) 
WSC       MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,T2M,PS,WSC
2023,8,1,0,7.8,189.5,17.1,99.26,5.82
2023,8,1,1,7.43,189.0,16.86,99.19,5.54
2023,8,1,2,7.28,184.7,16.68,99.1,5.43
2023,8,1,3,7.59,186.9,16.56,99.04,5.66
2023,8,1,4,7.03,188.1,16.72,98.99,5.24
2023,8,1,5,6.6,189.8,16.86,98.93,4.92
2023,8,1,6,6.47,189.2,17.03,98.89,4.83
2023,8,1,7,7.21,192.5,17.33,98.83,5.38
2023,8,1,8,8.45,201.8,18.15,98.78,6.3
2023,8,1,9,9.1,207.8,19.53,98.73,6.79
2023,8,1,10,9.35,208.9,20.46,98.66,6.97
2023,8,1,11,9.35,208.2,20.73,98.61,6.97
2023,8,1,12,9.46,210.4,20.83,98.58,7.06
2023,8,1,13,9.78,217.0,20.92,98.57,7.29
2023,8,1,14,8.77,221.4,20.06,98.58,6.54
2023,8,1,15,7.76,219.0,19.53,98.58,5.79
2023,8,1,16,7.47,221.9,19.24,98.59,5.57
2023,8,1,17,7.64,231.6,18.84,98.64,5.7
2023,8,1,18,7.73,239.5,18.04,98.71,5.77
2023,8,1,19,7.88,240.2,17.41,98.76,5.88
2023,8,1,20,7.72,239.8,16.73,98.8,5.76
2023,8,1,21,7.71,239.1,16.12,98.86,5.75
2023,8,1,22,7.58,240.8,15.52,98.9,5.65
2023,8,1,23,7.37,243.8,14.93,98.94,5.5
2023,8,2,0,6.99,244.4,14.27,98.97,5.21
2023,8,2,1,6.74,239.0,13.63,99.0,5.03
2023,8,2,2,6.8,231.4,13.22,99.03,5.07
2023,8,2,3,6.85,225.5,13.15,99.07,5.11
2023,8,2,4,6.01,220.5,13.79,99.12,4.48
2023,8,2,5,6.03,229.0,15.33,99.13,4.5
2023,8,2,6,6.41,232.7,17.64,99.13,4.78
2023,8,2,7,7.35,228.9,19.52,99.13,5.48
2023,8,2,8,7.8,226.2,20.81,99.12,5.82
2023,8,2,9,7.82,222.6,21.87,99.09,5.83
2023,8,2,10,7.92,219.1,22.88,99.05,5.91
2023,8,2,11,7.97,217.9,23.54,99.02,5.94
2023,8,2,12,7.75,215.0,24.16,98.97,5.78
2023,8,2,13,7.87,209.5,24.18,98.9,5.87
2023,8,2,14,8.23,203.9,23.62,98.85,6.14
2023,8,2,15,8.25,196.0,23.36,98.81,6.15
2023,8,2,16,8.4,186.0,22.89,98.76,6.27
2023,8,2,17,9.03,177.3,22.06,98.68,6.74
2023,8,2,18,10.03,176.2,20.48,98.65,7.48
2023,8,2,19,10.24,181.5,19.46,98.65,7.64
2023,8,2,20,9.48,181.2,18.91,98.59,7.07
2023,8,2,21,10.32,188.6,18.75,98.55,7.7
2023,8,2,22,10.59,197.3,18.96,98.56,7.9
2023,8,2,23,9.07,191.2,18.46,98.49,6.76
2023,8,3,0,9.02,187.9,17.62,98.47,6.73
2023,8,3,1,9.15,193.3,17.01,98.44,6.82
2023,8,3,2,9.86,205.8,16.91,98.48,7.35
2023,8,3,3,10.41,215.8,17.04,98.56,7.76
2023,8,3,4,9.17,220.9,17.97,98.62,6.84
2023,8,3,5,9.32,227.5,19.61,98.66,6.95
2023,8,3,6,10.78,235.0,21.71,98.7,8.04
2023,8,3,7,11.06,233.5,22.97,98.71,8.25
2023,8,3,8,11.23,229.7,23.84,98.72,8.38
2023,8,3,9,11.72,226.7,24.52,98.73,8.74
2023,8,3,10,12.32,226.1,24.81,98.75,9.19
2023,8,3,11,12.77,227.1,24.97,98.77,9.52
2023,8,3,12,12.83,228.4,25.16,98.81,9.57
2023,8,3,13,12.68,230.6,25.33,98.84,9.46
2023,8,3,14,12.53,232.6,25.22,98.88,9.35
2023,8,3,15,12.34,234.2,24.85,98.92,9.2
2023,8,3,16,11.84,236.2,24.16,98.96,8.83
2023,8,3,17,10.92,237.4,23.02,99.01,8.14
2023,8,3,18,10.55,238.4,21.56,99.08,7.87
2023,8,3,19,10.02,238.9,20.53,99.15,7.47
2023,8,3,20,9.38,236.9,19.65,99.2,7.0
2023,8,3,21,8.85,233.0,18.78,99.24,6.6
2023,8,3,22,8.81,229.1,18.19,99.29,6.57
2023,8,3,23,8.81,226.2,17.82,99.35,6.57
2023,8,4,0,8.71,224.2,17.42,99.39,6.5
2023,8,4,1,8.62,222.9,17.0,99.43,6.43
2023,8,4,2,8.36,222.8,16.52,99.47,6.24
2023,8,4,3,7.8,223.2,16.17,99.51,5.82
2023,8,4,4,6.64,226.7,16.98,99.54,4.95
2023,8,4,5,7.03,243.4,18.8,99.59,5.24
2023,8,4,6,7.2,240.0,20.45,99.66,5.37
2023,8,4,7,7.48,237.8,21.75,99.72,5.58
2023,8,4,8,7.56,240.7,22.92,99.75,5.64
2023,8,4,9,7.4,244.6,23.95,99.76,5.52
2023,8,4,10,7.13,247.3,24.78,99.78,5.32
2023,8,4,11,6.95,246.3,25.26,99.82,5.18
2023,8,4,12,6.52,247.7,25.17,99.85,4.86
2023,8,4,13,6.05,250.4,24.9,99.88,4.51
2023,8,4,14,5.58,254.0,24.53,99.9,4.16
2023,8,4,15,5.07,260.6,23.9,99.92,3.78
2023,8,4,16,4.48,269.9,23.12,99.95,3.34
2023,8,4,17,4.02,281.0,21.72,100.01,3.0
2023,8,4,18,3.64,295.7,20.14,100.08,2.71
2023,8,4,19,3.27,318.7,19.55,100.12,2.44
2023,8,4,20,3.36,346.6,19.02,100.13,2.51
2023,8,4,21,3.65,9.8,18.51,100.14,2.72
2023,8,4,22,3.5,30.2,18.04,100.17,2.61
2023,8,4,23,3.52,53.4,17.39,100.15,2.63
2023,8,5,0,2.89,71.6,17.09,100.19,2.16
2023,8,5,1,2.42,74.9,17.03,100.22,1.8
2023,8,5,2,3.41,75.0,16.48,100.16,2.54
2023,8,5,3,3.6,80.7,16.39,100.17,2.69
2023,8,5,4,3.71,75.0,16.93,100.16,2.77
2023,8,5,5,3.49,65.1,17.6,100.13,2.6
2023,8,5,6,2.58,54.0,18.13,100.14,1.92
2023,8,5,7,2.63,36.3,19.15,100.13,1.96
2023,8,5,8,3.82,26.4,19.85,100.12,2.85
2023,8,5,9,4.91,28.3,20.58,100.06,3.66
2023,8,5,10,4.56,32.5,20.56,100.06,3.4
2023,8,5,11,4.9,21.4,20.11,100.05,3.65
2023,8,5,12,6.17,13.4,19.93,100.0,4.6
2023,8,5,13,7.18,12.4,19.67,99.94,5.36
2023,8,5,14,7.44,13.0,19.28,99.86,5.55
2023,8,5,15,6.44,8.7,18.54,99.84,4.8
2023,8,5,16,5.92,358.9,17.69,99.84,4.42
2023,8,5,17,6.64,354.9,17.04,99.81,4.95
2023,8,5,18,6.98,357.4,16.57,99.8,5.21
2023,8,5,19,7.57,6.1,16.3,99.78,5.65
2023,8,5,20,7.4,9.6,16.13,99.73,5.52
